Timer_Row,Node2,Node3,Node4,Node5,Node6,Node7
30,0.162,0.162,0.059,0.059,0.062,0.062
60,0.151,0.159,0.059,0.059,0.062,0.062
90,0.154,0.159,0.059,0.059,0.062,0.062
120,0.145,0.159,0.056,0.056,0.062,0.059
150,0.14,0.156,0.056,0.056,0.059,0.059
180,0.140,0.156,0.056,0.056,0.062,0.059
210,0.134,0.156,0.056,0.056,0.059,0.059
240,0.134,0.156,0.056,0.053,0.059,0.059
270,0.134,0.156,0.056,0.053,0.057,0.059
300,0.134,0.154,0.056,0.053,0.057,0.059
